onlineProdSn,onlineProdCode,brandSn,brandName,url,prodName,salePrice,description,mainCategory,subCategory,detailCategory,reviewCount,avgRating,imageUrl,price,discountRate,ingredients
64109,411110000705,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64109,말차 비스코티 칩 100g (원산지:상세설명참조),14000,,뷰티푸드,차(TEA) / 간식,,618,4.64,https://images-kr.amoremall.com/products/411110000705/411110000705_01.jpg?1750754344412,14000,0,
63137,411110000664,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=63137,얼그레이 밀크티 10입 (원산지:상세설명참조),11700,,뷰티푸드,차(TEA) / 간식,,844,4.84,https://images-kr.amoremall.com/products/411110000664/411110000664_01.jpg?1731564516339,13000,10,
53001,411110000414,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=53001,제주 동백꽃 티 20입 (원산지:상세설명참조),9900,제주 동백꽃의 달큰한 향미가 아찔하고 짙은 정열적이고 매혹적인 블렌디드 티,뷰티푸드,차(TEA) / 간식,블렌딩티,633,4.87,https://images-kr.amoremall.com/products/411110000414/411110000414_01.jpg?1731890662105,11000,10,
57696,411110000560,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=57696,캐모마일 블렌드 10입 (원산지:상세설명참조),14850,,뷰티푸드,차(TEA) / 간식,허브차,374,4.84,https://images-kr.amoremall.com/products/411110000560/411110000560_01.jpg?1734056853816,16500,10,
53005,411110000418,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=53005,녹차 밀크 스프레드 200g (원산지:상세설명참조),9900,"크래커, 빵 등에 발라먹는 녹차향 가득한 스프레드",뷰티푸드,차(TEA) / 간식,,1144,4.78,https://images-kr.amoremall.com/products/411110000418/411110000418_01.jpg?1749024878041,11000,10,
63799,411110000683,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=63799,유자 얼그레이 20입 (원산지:상세설명참조),9900,,뷰티푸드,차(TEA) / 간식,홍차,186,4.88,https://images-kr.amoremall.com/products/411110000683/411110000683_01.jpg?1736902384289,11000,10,
61654,411110000634,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=61654,티 베리에이션 O 6종 (원산지:상세설명참조),27000,,뷰티푸드,차(TEA) / 간식,기프트세트,330,4.92,https://images-kr.amoremall.com/products/411110000634/411110000634_01.jpg?1747804710158,30000,10,
53009,411110100422,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=53009,[가벼운선물] 러블리 티박스 4종 (원산지:상세설명참조),21600,달콤하고 향긋한 티타임을 전달하는 티 세트,뷰티푸드,차(TEA) / 간식,기프트세트,1460,4.88,https://images-kr.amoremall.com/products/411110100422/411110100422_01.jpg?1738545423042,24000,10,
53006,411110000419,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=53006,제주 삼다 영귤 티 20입 (원산지:상세설명참조),9900,제주 삼나무의 그윽한 풍미에 싱그러운 영귤의 상큼함이 매력적인 블렌디드 티,뷰티푸드,차(TEA) / 간식,블렌딩티,773,4.82,https://images-kr.amoremall.com/products/411110000419/411110000419_01.png?1738547910288,11000,10,
60179,411110000604,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=60179,디퓨저 티가든 100ml (원산지:상세설명참조),22500,,소품 & 도구,캔들 & 디퓨저,,1103,4.76,https://images-kr.amoremall.com/products/411110000604/411110000604_01.jpg?1699489916307,25000,10,
65117,411110000729,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=65117,티 에디션 허브 4종 (원산지:상세설명참조),28800,,뷰티푸드,차(TEA) / 간식,기프트세트,99,4.85,https://images-kr.amoremall.com/products/411110000729/411110000729_01.jpg?1766471216015,32000,10,
53024,411110000435,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=53024,세작 피라미드 20입 (원산지:상세설명참조),27000,,뷰티푸드,차(TEA) / 간식,녹차,697,4.78,https://images-kr.amoremall.com/products/411110000435/411110000435_01.jpg?1735273695171,30000,10,
53021,411110000433,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=53021,세작 40g (원산지:상세설명참조),15300,제주 차밭의 어린 찻잎으로 만든 작설차,뷰티푸드,차(TEA) / 간식,녹차,581,4.88,https://images-kr.amoremall.com/products/411110000433/411110000433_01.jpg?1669793499735,17000,10,
64129,411110000706,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64129,차의 정원 9종 (원산지:상세설명참조),48600,,뷰티푸드,차(TEA) / 간식,기프트세트,127,4.87,https://images-kr.amoremall.com/products/411110000706/411110000706_01.jpg?1750754356320,54000,10,
60368,411110000611,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=60368,시그니처 얼그레이 20입 (원산지:상세설명참조),24300,,뷰티푸드,차(TEA) / 간식,블렌딩티,124,4.74,https://images-kr.amoremall.com/products/411110000611/411110000611_01.jpg?1737096232024,27000,10,
53017,411110000429,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=53017,달빛걷기 20입 (원산지:상세설명참조),24300,달큰한 배향이 달빛처럼 은은하게 감도는 후발효차,뷰티푸드,차(TEA) / 간식,블렌딩티,769,4.86,https://images-kr.amoremall.com/products/411110000429/411110000429_01.jpg?1733270750520,27000,10,
53016,411110000428,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=53016,유채 & 살구향 티 20입 (원산지:상세설명참조),9900,,뷰티푸드,차(TEA) / 간식,블렌딩티,675,4.85,https://images-kr.amoremall.com/products/411110000428/411110000428_01.jpg?1734599185109,11000,10,
55800,411110000508,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=55800,제주섬 녹차 초콜릿바 120g (원산지:상세설명참조),11000,,뷰티푸드,차(TEA) / 간식,,677,4.7,https://images-kr.amoremall.com/products/411110000508/411110000508_01.jpg?1728364432400,11000,0,
62344,411110000656,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=62344,귤 꽃향 블라썸 티 20입 (원산지:상세설명참조),9900,,뷰티푸드,차(TEA) / 간식,기타 차,364,4.84,https://images-kr.amoremall.com/products/411110000656/411110000656_01.png?1747640049954,11000,10,
56055,411110000538,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=56055,벚꽃향 가득한 올레 20입 (원산지:상세설명참조),24300,,뷰티푸드,차(TEA) / 간식,기타 차,172,4.81,https://images-kr.amoremall.com/products/411110000538/411110000538_01.jpg?1735521359668,27000,10,
60868,411110000623,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=60868,바닐라 허니 블랙티 20입 (원산지:상세설명참조),9900,,뷰티푸드,차(TEA) / 간식,블렌딩티,263,4.76,https://images-kr.amoremall.com/products/411110000623/411110000623_01.png?1747619863206,11000,10,
54932,411110000504,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=54932,찬물 루이보스티 20입 (원산지:상세설명참조),8550,,뷰티푸드,차(TEA) / 간식,허브차,757,4.87,https://images-kr.amoremall.com/products/411110000504/411110000504_01.jpg?1760578733552,9500,10,
53003,411110000416,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=53003,제주섬 녹차 아몬드볼 80g (원산지:상세설명참조),10000,,뷰티푸드,차(TEA) / 간식,,779,4.75,https://images-kr.amoremall.com/products/411110000416/411110000416_01.jpg?1743489434659,10000,0,
56046,411110000532,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=56046,삼다연 제주 영귤 20입 (원산지:상세설명참조),24300,,뷰티푸드,차(TEA) / 간식,기타 차,194,4.84,https://images-kr.amoremall.com/products/411110000532/411110000532_01.jpg?1740035259009,27000,10,
53070,411110000469,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=53070,루이보스 퓨어 10입 (원산지:상세설명참조) 18g,14850,붉은 태양을 닮은 깊은 풍미의 순수 루이보스차,뷰티푸드,차(TEA) / 간식,허브차,50,4.9,https://images-kr.amoremall.com/products/411110000469/411110000469_01.jpg?1750754365719,16500,10,
53028,411110000439,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=53028,웨딩그린티 20입 (원산지:상세설명참조),24300,"설렘 가득, 꽃향이 만발하는 블렌디드 녹차",뷰티푸드,차(TEA) / 간식,블렌딩티,379,4.87,https://images-kr.amoremall.com/products/411110000439/411110000439_01.jpg?1734331594506,27000,10,
56051,411110000534,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=56051,달빛걷기 10입 (원산지:상세설명참조),14850,,뷰티푸드,차(TEA) / 간식,기타 차,149,4.87,https://images-kr.amoremall.com/products/411110000534/411110000534_01.jpg?1733384792153,16500,10,
63850,411110000687,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=63850,제주 화산암차 20입 (원산지:상세설명참조),24300,,뷰티푸드,차(TEA) / 간식,기타 차,58,4.91,https://images-kr.amoremall.com/products/411110000687/411110000687_01.jpg?1737520846478,27000,10,
63072,411110000662,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=63072,스윗 히비스커스 20입 (원산지:상세설명참조),9900,,뷰티푸드,차(TEA) / 간식,허브차,302,4.73,https://images-kr.amoremall.com/products/411110000662/411110000662_01.jpg?1730964185884,11000,10,
