brandName,prodName,onlineProdSn,onlineProdCode,mainCategory,subCategory,detailCategory,price,salePrice,discountRate,reviewCount,avgRating,imageUrl
헤라,NEW 시그니아 리파이닝 워터 에센스 180ml,20461,111070000582,스킨케어,모이스처라이징,스킨 & 토너,100000,90000,10,420,4.86,https://images-kr.amoremall.com/products/111070000582/111070000582_01.png?1767144222375
헤라,NEW 시그니아 바이탈 리프팅 크림 50ml,17879,111070000417,스킨케어,모이스처라이징,크림,300000,270000,10,78,4.88,https://images-kr.amoremall.com/products/1767145857758/111070000417/111070000417_00.png?1767145859029
헤라,NEW 시그니아 유스 퍼밍 아이크림 25ml,17715,111070000416,스킨케어,모이스처라이징,아이 & 넥,200000,180000,10,340,4.88,https://images-kr.amoremall.com/products/1767145876963/111070000416/111070000416_00.png?1767145877931
홀리추얼,릴랙스드 풋 트리트먼트 크림 130ml,63957,111900000104,생활용품,바디,핸드 & 풋케어,35000,35000,0,239,4.78,https://images-kr.amoremall.com/products/111900000104/111900000104_01.jpg?1753953037614
홀리추얼,리디파이닝 클렌징 밀크 200ml,64817,111900000112,스킨케어,클렌징,,46000,46000,0,188,4.88,https://images-kr.amoremall.com/products/111900000112/111900000112_01.jpg?1760499094038
홀리추얼,코어 리프트 액티베이팅 세럼 140ml,31334,111900000002,스킨케어,모이스처라이징,에센스 & 세럼,105000,105000,0,1242,4.85,https://images-kr.amoremall.com/products/111900000002/111900000002_01.jpg?1760499083427
홀리추얼,래디언스 리설페이싱 필 12매,31333,111900000001,스킨케어,클렌징,필링 & 스크럽,48000,48000,0,1348,4.86,https://images-kr.amoremall.com/products/111900000001/111900000001_01.png?1753953061794
홀리추얼,클린테라피 파우더 마스크 (8입),61714,111900000078,스킨케어,스페셜 케어,마스크 & 팩,125000,125000,0,305,4.87,https://images-kr.amoremall.com/products/111900000078/111900000078_01.png?1765708015005
홀리추얼,엘리멘탈 스무딩 로션 110ml,47255,111900000025,스킨케어,모이스처라이징,로션 & 에멀젼,55000,55000,0,417,4.83,https://images-kr.amoremall.com/products/111900000025/111900000025_01.png?1753953049585
홀리추얼,마이크로 밸런싱 에센스 150ml,39994,111900000014,스킨케어,모이스처라이징,에센스 & 세럼,52000,52000,0,342,4.87,https://images-kr.amoremall.com/products/111900000014/111900000014_01.png?1727222941699
홀리추얼,피토 리쥬브네이팅 컨센트레이트 30ml,47176,111900000024,스킨케어,모이스처라이징,에센스 & 세럼,70000,70000,0,354,4.83,https://images-kr.amoremall.com/products/111900000024/111900000024_01.jpg?1765708056569
홀리추얼,[한정판매] 뉴트리 엘릭서 바디 프라그랑스 미스트 100ml,66671,111900000139,생활용품,바디,바디오일 & 미스트,58000,58000,0,66,4.61,https://images-kr.amoremall.com/products/111900000139/111900000139_01.jpg?1756780356407
홀리추얼,컨센트레이트 시그니처 크림 라이트 80ml,39995,111900000015,스킨케어,모이스처라이징,크림,98000,98000,0,277,4.79,https://images-kr.amoremall.com/products/111900000015/111900000015_01.png?1765707964482
홀리추얼,리디파이닝 앰플 4주 프로그램 (5ml*20ea),63393,111900000089,스킨케어,스페셜 케어,앰플,280000,280000,0,47,4.83,https://images-kr.amoremall.com/products/111900000089/111900000089_01.jpg?1742774514325
홀리추얼,울트라 너리싱 어드밴스드 크림,62681,111900000084,스킨케어,모이스처라이징,크림,220000,220000,0,146,4.86,https://images-kr.amoremall.com/products/111900000084/111900000084_01.png?1749994123432
홀리추얼,뉴트리 엘릭서 미스트 홀리데이 기획 세트,67603,111900100153,스킨케어,모이스처라이징,미스트,58000,58000,0,28,4.71,https://images-kr.amoremall.com/products/111900100153/111900100153_01.png?1764143018071
홀리추얼,울트라 너리싱 어드밴스드 에멀전 120ml,66972,111900000146,스킨케어,모이스처라이징,로션 & 에멀젼,82000,82000,0,59,4.9,https://images-kr.amoremall.com/products/111900000146/111900000146_01.png?1759208461167
홀리추얼,울트라 너리싱 어드밴스드 토너 150ml,66971,111900000145,스킨케어,모이스처라이징,스킨 & 토너,78000,78000,0,22,4.77,https://images-kr.amoremall.com/products/111900000145/111900000145_01.png?1759208562356
홀리추얼,프로 리프팅 앤 퍼밍 프로그램 (8회분),64297,111900000108,스킨케어,스페셜 케어,마스크 & 팩,150000,150000,0,111,4.77,https://images-kr.amoremall.com/products/111900000108/111900000108_01.jpg?1765638137737
홀리추얼,파워 리뉴얼 키트 (히알루로닉 볼륨 부스터+링클 리설페이싱 코렉터),48594,111900000030,스킨케어,스페셜 케어,앰플,140000,140000,0,103,4.77,https://images-kr.amoremall.com/products/111900000030/111900000030_01.png?1749994081135
홀리추얼,미라클 타임 20포,47820,111900000027,뷰티푸드,건강식품,이너뷰티,86000,86000,0,192,4.72,https://images-kr.amoremall.com/products/111900000027/111900000027_01.jpg?1749994092262
려,루트젠 탈모증상전문케어 두피 에센스 80ml,57538,,생활용품,헤어,,19900,16900,15,1508,4.76,https://images-kr.amoremall.com/products/111410000553/111410000553_01.jpg?1763424471921
려,함빛/청아/흑운/민감 샴푸&컨디셔너 480ml,60188,,생활용품,헤어,,13900,8900,35,5007,4.81,https://images-kr.amoremall.com/products/111410000603/111410000603_01.png?1739154997699
려,루트젠 여성 맞춤 탈모증상전문케어 샴푸 515ml,57269,,생활용품,헤어,,22900,19900,13,1912,4.73,https://images-kr.amoremall.com/products/111410000549/111410000549_01.jpg?1763372998795
려,자양윤모 9ex 탈모증상전문케어 샴푸 400ml,46403,,생활용품,헤어,샴푸,17000,9900,41,3902,4.8,https://images-kr.amoremall.com/products/111410000435/111410000435_01.png?1687935316023
려,댄트롤 비듬샴푸 박하/멘톨/애플 820ml,56099,,생활용품,헤어,샴푸,12500,7450,40,6109,4.83,https://images-kr.amoremall.com/products/111410000539/111410000539_01.png?1680252289292
려,두피 편한 검은콩 염색 120g,62509,,생활용품,헤어,,12900,9900,23,1409,4.77,https://images-kr.amoremall.com/products/111410000639/111410000639_01.png?1724289312479
